,RVP_LAB,S.B5.213TI2804,S.B5.213PI2806,S.B5.213FC2602
2014-12-20,38.8,134.1639742,334.0334196,94.19482748
2014-12-21,38.9,133.524985,328.7717641,96.94093122
2014-12-22,36,133.2479541,308.9304085,97.34910776
2014-12-23,35.3,133.264933,314.3388899,96.27831917
2014-12-24,38.2,132.865002,317.1302859,97.55121865
2014-12-25,38.4,133.0276252,320.0841799,98.4168478
2014-12-26,37.9,132.8072043,318.8376778,97.36229419
2014-12-27,35.7,132.425111,301.9642894,96.41558506
2014-12-28,31.4,133.1561868,326.4461635,95.70852603
2014-12-29,36.8,131.6885023,305.3254462,95.35197577
2014-12-30,32.5,134.478829,335.5772395,92.86951713
2014-12-31,34.1,133.3707255,334.6370686,98.84268562
2015-01-01,34.1,133.3201564,302.4884123,94.29767868
2015-01-02,33.9,133.100829,351.2033263,92.25450744
2015-01-03,42.4,132.8236958,349.4825945,94.599258
2015-01-03,38.8,132.8236958,349.4825945,94.599258
2015-01-04,40.2,132.9344948,326.5597042,91.82126003
2015-01-05,39.1,132.7169361,327.3322996,93.77461654
2015-01-06,40.5,133.1859913,342.0337583,89.8511989
2015-01-07,36.1,132.6133191,301.9504275,96.73137683
2015-01-08,36.9,132.1746512,302.8700795,97.45635076
2015-01-09,35.8,132.9522895,306.8874342,96.12196473
2015-01-10,36.2,133.8445426,308.1801353,93.47358751
2015-01-11,36,133.3896118,302.8679486,93.23396409
2015-01-12,37.8,132.5031447,312.0950895,94.85004162
2015-01-13,36.7,133.5368687,304.5286716,92.07211587
2015-01-14,34.3,132.5158417,306.4771554,90.65950646
2015-01-15,34.8,132.4484458,304.7537054,94.04311196
2015-01-16,35.9,132.4652099,312.4551523,93.81525846
2015-01-17,36.9,132.6685765,314.4517196,90.24793246
2015-01-18,35.8,132.2812789,301.8210022,90.45072056
2015-01-19,39.4,131.782087,308.9717849,93.37560818
2015-01-20,38.6,132.960243,305.5856673,93.17836745
2015-01-21,35.6,132.9151935,303.4203442,94.2189783
2015-01-22,37.8,131.7544899,312.6142711,95.010962
2015-01-23,36.9,131.1533767,304.823429,95.1092453
2015-01-24,37,133.4112544,309.4960697,92.03677043
2015-01-25,36.8,132.3774504,300.1117837,99.18356408
2015-01-26,37.9,132.2195404,305.2596443,95.84177992
2015-01-27,37.5,131.9690266,313.2422769,95.32730368
2015-01-28,37.2,132.8670889,312.7434518,93.52054041
2015-01-29,34.9,133.2570585,302.3701146,96.44967253
2015-01-30,35.5,132.7462195,309.4973367,94.60568176
2015-01-31,36.9,131.6619735,311.6279723,97.91177834
2015-02-01,37.8,132.131374,315.7719767,97.45551372
2015-02-02,37.1,131.9342665,308.1307379,94.56694624
2015-02-03,36.9,133.6436323,309.6936789,92.51318085
2015-02-04,38.4,131.724342,307.6016944,93.93277474
2015-02-05,37.1,132.7619939,308.0067738,91.46628507
2015-02-06,38.5,132.2377282,307.5908837,89.45378755
2015-02-07,36.5,132.1443422,307.3309649,93.61564045
2015-02-08,35.4,133.915596,307.4731968,91.68317287
2015-02-09,37.7,132.4743821,308.0423587,91.62213198
